health_worker_id,health_worker_name,role,contact_token,district,area,assigned_patient_count,response_status
HW0045,Sadia Sultana,CHW,HW-1ZJ3-L6SD-YSN,Gazipur,Sreepur,75,Available
HW0046,Tania Chowdhury,CHW,HW-HQR1-TVN4-AS7,Gazipur,Joydebpur,62,Available
HW0047,Mou Sultana,CHW,HW-G8ML-JFF7-ALJ,Gazipur,Joydebpur,78,Available
HW0048,Rina Sultana,CHW,HW-FMKY-QPBA-19X,Gazipur,Joydebpur,73,Available
HW0049,Saima Khatun,CHW,HW-W24T-IKXC-T46,Cumilla,Sadar,80,Available
HW0050,Namira Ahmed,CHW,HW-UGYM-AK37-E76,Cumilla,Sadar,59,Available
HW0051,Nusrat Ahmed,CHW,HW-BUIZ-QCPW-UDS,Cumilla,Sadar,67,Available
HW0052,Fatema Begum,nurse,HW-IEDH-9FRJ-1VR,Cumilla,Daudkandi,65,Delayed
HW0053,Nusrat Chowdhury,nurse,HW-9HJS-84GJ-X5R,Cumilla,Daudkandi,80,Available
HW0054,Sharmin Sultana,CHW,HW-4081-CI78-LKK,Cumilla,Daudkandi,70,Available
HW0055,Sabina Chowdhury,CHW,HW-G9MR-SE6N-F63,Cumilla,Chandina,57,Available
HW0056,Farzana Jahan,doctor,HW-6SFR-IQ7U-XKT,Cumilla,Chandina,55,Delayed
HW0057,Saima Islam,CHW,HW-QASV-MPH2-WB6,Cumilla,Chandina,56,Available
HW0058,Mariam Mia,CHW,HW-TW1J-CXNQ-M0V,Cumilla,Laksam,53,Delayed
HW0059,Tahmina Islam,doctor,HW-UUFO-F4SR-ML8,Cumilla,Laksam,73,Available
HW0060,Rokeya Jahan,CHW,HW-MDGI-6NU9-AIJ,Cumilla,Laksam,63,Available
HW0061,Sabina Rahman,CHW,HW-CMCV-EZV4-LFJ,Cumilla,Burichang,72,Unavailable
HW0062,Nusrat Ahmed,CHW,HW-HRLP-PE85-8CX,Cumilla,Burichang,64,Available
HW0063,Tahmina Ahmed,CHW,HW-TCL9-I1JN-P3R,Cumilla,Burichang,76,Delayed
HW0064,Jannatul Parvin,CHW,HW-2L18-JXKW-TBV,Chattogram,Pahartali,68,Available
HW0065,Shirin Chowdhury,CHW,HW-RZKO-2EZF-U4Z,Chattogram,Pahartali,75,Available
HW0066,Namira Islam,CHW,HW-539F-KYWY-VWT,Chattogram,Pahartali,67,Delayed
HW0067,Rina Nahar,CHW,HW-GNSP-8FBW-WJW,Chattogram,Panchlaish,76,Available
HW0068,Farzana Jahan,CHW,HW-CNI2-9B6V-DM8,Chattogram,Panchlaish,80,Unavailable
HW0069,Kaniz Akter,CHW,HW-MF44-1VDY-1OR,Chattogram,Panchlaish,64,Available
HW0070,Tania Ahmed,nurse,HW-KMZ2-LY7M-CG3,Chattogram,Halishahar,80,Delayed
HW0071,Sadia Jahan,nurse,HW-DXTS-XTEH-6V7,Chattogram,Halishahar,70,Delayed
HW0072,Rina Sultana,CHW,HW-P7YV-B7CN-O3M,Chattogram,Halishahar,59,Available
HW0073,Shirin Parvin,CHW,HW-38RT-KJP1-I0J,Chattogram,Rangunia,58,Available
HW0074,Tania Ahmed,nurse,HW-LMXA-UMQX-P8B,Chattogram,Rangunia,65,Available
HW0075,Rina Hossain,CHW,HW-LPU2-NWMZ-K2P,Chattogram,Rangunia,61,Available
HW0076,Sabina Begum,CHW,HW-WLF3-PZ4M-GDT,Chattogram,Sitakunda,74,Delayed
HW0077,Sabina Jahan,CHW,HW-ZTCJ-QOC4-SSX,Chattogram,Sitakunda,69,Available
HW0078,Nabila Chowdhury,CHW,HW-BHY7-CVWK-JUD,Chattogram,Sitakunda,58,Available
HW0079,Tania Hossain,CHW,HW-HEOW-5AK1-BX9,Sylhet,Sadar,70,Available
HW0080,Emon Islam,CHW,HW-BXU3-PKJW-RU8,Sylhet,Sadar,71,Available
HW0081,Kaniz Parvin,CHW,HW-9NF6-PGZV-UK1,Sylhet,Sadar,53,Available
HW0082,Ayesha Mia,nurse,HW-IQ7N-EMPY-8PL,Sylhet,Beanibazar,58,Unavailable
HW0083,Sadia Begum,CHW,HW-KLLX-MDI4-CNJ,Sylhet,Beanibazar,61,Delayed
HW0084,Fatema Parvin,CHW,HW-VSEB-ZH7T-KYY,Sylhet,Beanibazar,69,Delayed
HW0085,Saima Nahar,CHW,HW-PUHQ-NIYB-2AB,Sylhet,Golapganj,65,Available
HW0086,Jannatul Akter,CHW,HW-PRWB-K8AK-QDT,Sylhet,Golapganj,57,Available
HW0087,Namira Rahman,CHW,HW-2K1M-IXD1-6PG,Sylhet,Golapganj,72,Available
HW0088,Namira Mia,nurse,HW-3UJ6-RDND-2M7,Sylhet,Jaintiapur,63,Delayed
HW0089,Kaniz Parvin,CHW,HW-XD9Z-HMVI-NM6,Sylhet,Jaintiapur,59,Available
HW0090,Sabina Sultana,CHW,HW-W5J1-Z7VD-GUB,Sylhet,Jaintiapur,55,Available
HW0091,Rina Hossain,CHW,HW-W95C-8MCP-ARO,Sylhet,Zakiganj,60,Delayed
HW0092,Rina Ahmed,CHW,HW-NKQT-LADG-IEF,Sylhet,Zakiganj,78,Unavailable
HW0093,Kaniz Mia,CHW,HW-JY6M-ZK40-FU3,Sylhet,Zakiganj,64,Available
HW0094,Jannatul Hossain,CHW,HW-O0LP-3C2H-JRP,Rajshahi,Boalia,62,Unavailable
HW0095,Mariam Islam,CHW,HW-TZ3Z-MEP4-HAS,Rajshahi,Boalia,87,Available
HW0096,Emon Chowdhury,CHW,HW-43VV-CGZI-H0K,Rajshahi,Boalia,68,Available
HW0097,Sadia Ferdous,CHW,HW-T719-3XM5-QNO,Rajshahi,Paba,66,Available
HW0098,Rakib Parvin,CHW,HW-LKKW-NBUN-F3L,Rajshahi,Paba,68,Available
HW0099,Nusrat Begum,nurse,HW-G5HU-AEZ7-0OJ,Rajshahi,Paba,60,Available
HW0100,Kaniz Nahar,nurse,HW-SVM4-0S9W-J00,Rajshahi,Godagari,68,Available
HW0101,Kaniz Nahar,nurse,HW-A658-Q9XW-RFE,Rajshahi,Godagari,75,Available
HW0102,Kaniz Hossain,CHW,HW-0L54-T3SM-ULL,Rajshahi,Godagari,79,Available
HW0103,Shirin Nahar,CHW,HW-CDZ9-R0H5-Q5O,Rajshahi,Tanore,57,Available
HW0104,Rina Parvin,CHW,HW-I596-CTDZ-D42,Rajshahi,Tanore,65,Available
HW0105,Nabila Rahman,CHW,HW-HNZH-ICQY-854,Rajshahi,Tanore,71,Available
HW0106,Nusrat Khatun,doctor,HW-ZTAK-7LSQ-841,Rajshahi,Bagha,73,Available
HW0107,Namira Ahmed,nurse,HW-OG5I-HZ0Z-K0R,Rajshahi,Bagha,84,Available
HW0108,Mariam Hossain,CHW,HW-OJV0-PE5Z-KSK,Rajshahi,Bagha,70,Unavailable
HW0109,Namira Rahman,CHW,HW-UJZX-B5B8-SIU,Khulna,Sonadanga,68,Available
HW0110,Sadia Chowdhury,CHW,HW-C87S-KZQQ-4XA,Khulna,Sonadanga,81,Available
HW0111,Rina Mia,CHW,HW-IGZA-ZPD8-NX0,Khulna,Sonadanga,59,Available
HW0112,Ayesha Hossain,CHW,HW-R2Z5-YADO-GS9,Khulna,Daulatpur,68,Available
HW0113,Tania Jahan,CHW,HW-P2MO-BI33-SP7,Khulna,Daulatpur,79,Available
HW0114,Namira Chowdhury,nurse,HW-87HL-AZ10-OXN,Khulna,Daulatpur,68,Available
HW0115,Rakib Chowdhury,CHW,HW-NBC1-GE1N-8XL,Khulna,Dumuria,70,Available
HW0116,Jannatul Hossain,CHW,HW-2B5E-IUWX-1F1,Khulna,Dumuria,61,Available
HW0117,Saima Jahan,CHW,HW-GQ1F-WHEX-78H,Khulna,Dumuria,56,Available
HW0118,Farzana Hossain,nurse,HW-IAUK-E4LI-MKU,Khulna,Paikgacha,62,Delayed
HW0119,Namira Ferdous,CHW,HW-4D3X-0815-XK9,Khulna,Paikgacha,61,Available
HW0120,Emon Ferdous,nurse,HW-8Z23-LVQQ-0Q5,Khulna,Paikgacha,71,Unavailable
HW0121,Kaniz Mia,CHW,HW-TC9M-8LKQ-00A,Khulna,Dacope,62,Available
HW0122,Farzana Nahar,CHW,HW-J2TH-UM5U-C0D,Khulna,Dacope,71,Available
HW0123,Rina Khatun,CHW,HW-UKMH-LZ6U-HZ8,Khulna,Dacope,70,Available
HW0124,Fatema Begum,CHW,HW-OCDR-J24X-KGK,Rangpur,Sadar,64,Available
HW0125,Namira Parvin,CHW,HW-ODZO-4308-7D3,Rangpur,Sadar,74,Delayed
HW0126,Tahmina Chowdhury,CHW,HW-665P-WFT5-HRW,Rangpur,Sadar,64,Available
HW0127,Rina Chowdhury,nurse,HW-2E7V-XY5N-UM1,Rangpur,Mithapukur,63,Available
HW0128,Rina Ferdous,CHW,HW-X336-4GP1-RB4,Rangpur,Mithapukur,61,Available
HW0129,Fatema Akter,CHW,HW-3JGN-CVQO-L7P,Rangpur,Mithapukur,62,Available
HW0130,Jannatul Chowdhury,CHW,HW-U2LX-LJDV-3CQ,Rangpur,Pirganj,56,Available
HW0131,Farzana Hossain,CHW,HW-89PM-WKQ0-1CF,Rangpur,Pirganj,60,Available
HW0132,Shirin Islam,CHW,HW-DEA0-T841-P8U,Rangpur,Pirganj,68,Available
HW0133,Farzana Ferdous,CHW,HW-ZE7Z-E1MX-26U,Rangpur,Gangachara,77,Available
HW0134,Nusrat Rahman,doctor,HW-GDKU-41S7-LPC,Rangpur,Gangachara,77,Available
HW0135,Emon Jahan,CHW,HW-7XZP-Y2HO-KX0,Rangpur,Gangachara,77,Delayed
HW0136,Farzana Akter,doctor,HW-2T4H-ZP22-90D,Rangpur,Kaunia,63,Available
HW0137,Ayesha Rahman,CHW,HW-POA3-O8ZZ-UP6,Rangpur,Kaunia,65,Available
HW0138,Namira Nahar,doctor,HW-KXT6-0MBA-WSR,Rangpur,Kaunia,70,Available
HW0139,Mou Ferdous,CHW,HW-1M68-WRQ8-2BU,Mymensingh,Sadar,65,Available
HW0140,Tahmina Akter,doctor,HW-FYZX-22E9-4QR,Mymensingh,Sadar,56,Available
HW0141,Kaniz Islam,CHW,HW-M5EF-8GVF-VBA,Mymensingh,Sadar,57,Available
HW0142,Fatema Hossain,CHW,HW-34S1-MVZW-ES3,Mymensingh,Trishal,69,Unavailable
HW0143,Nusrat Hossain,CHW,HW-XWLU-89RS-I3E,Mymensingh,Trishal,67,Available
HW0144,Mariam Sultana,nurse,HW-TO5N-GKGB-95O,Mymensingh,Trishal,62,Available
HW0145,Sabina Parvin,CHW,HW-0F1D-9M86-6H0,Mymensingh,Muktagacha,62,Unavailable
HW0146,Sabina Nahar,nurse,HW-TGQJ-SBUI-N0X,Mymensingh,Muktagacha,57,Delayed
HW0147,Hasan Chowdhury,CHW,HW-NM5R-LGX0-Y5X,Mymensingh,Muktagacha,65,Available
HW0148,Emon Begum,CHW,HW-QN0Q-AJ11-F8M,Mymensingh,Fulbaria,86,Available
HW0149,Kaniz Jahan,nurse,HW-OD6V-OVEJ-CR6,Mymensingh,Fulbaria,75,Available
HW0150,Tahmina Sultana,CHW,HW-N3K8-HW4O-CPY,Mymensingh,Fulbaria,75,Available
HW0151,Fatema Akter,CHW,HW-9A0P-WBQ6-M1Q,Mymensingh,Gafargaon,71,Available
HW0152,Rakib Nahar,doctor,HW-7UNP-M23I-86V,Mymensingh,Gafargaon,66,Available
HW0153,Jannatul Khatun,CHW,HW-ZKA8-GM16-EIV,Mymensingh,Gafargaon,69,Available
HW0154,Hasan Rahman,CHW,HW-KQ97-U6MA-E3S,Barishal,Sadar,64,Available
HW0155,Hasan Nahar,CHW,HW-175I-ZW6Z-6Y3,Barishal,Sadar,54,Available
HW0156,Emon Akter,CHW,HW-ADY4-811L-RAV,Barishal,Sadar,76,Available
HW0157,Mou Jahan,CHW,HW-OTQP-1FX8-OF1,Barishal,Bakerganj,80,Available
HW0158,Shirin Chowdhury,CHW,HW-ED00-L9ZN-VID,Barishal,Bakerganj,65,Available
HW0159,Sabina Jahan,CHW,HW-Q2T2-L60D-GII,Barishal,Bakerganj,70,Available
HW0160,Tania Ahmed,doctor,HW-U4NF-71XF-MQZ,Barishal,Banaripara,62,Available
HW0161,Shirin Ferdous,CHW,HW-FIM0-US3R-57G,Barishal,Banaripara,60,Available
HW0162,Namira Khatun,CHW,HW-JHWM-55AS-IE8,Barishal,Banaripara,71,Available
HW0163,Nabila Mia,CHW,HW-EMN4-K9JF-X6Z,Barishal,Gournadi,74,Unavailable
HW0164,Fatema Sultana,CHW,HW-H9DD-F9XX-4N9,Barishal,Gournadi,61,Available
HW0165,Sharmin Khatun,CHW,HW-313D-CY2M-OBV,Barishal,Gournadi,59,Delayed
HW0166,Sharmin Parvin,CHW,HW-M0XC-8GBO-QG3,Barishal,Agailjhara,75,Delayed
HW0167,Nabila Chowdhury,CHW,HW-UP5T-K626-VKT,Barishal,Agailjhara,59,Unavailable
HW0168,Ayesha Ahmed,doctor,HW-EEVQ-OT3D-59S,Barishal,Agailjhara,65,Available
HW0169,Tahmina Akter,nurse,HW-7KLF-FZS9-267,Bogura,Sadar,66,Available
HW0170,Emon Mia,CHW,HW-ITB9-HYL6-IM1,Bogura,Sadar,72,Available
HW0171,Mou Hossain,CHW,HW-BHZV-GCCF-AZO,Bogura,Sadar,74,Delayed
HW0172,Hasan Hossain,nurse,HW-9DWN-MPG6-2DW,Bogura,Sherpur,59,Available
HW0173,Rakib Akter,CHW,HW-YH76-CC5V-92F,Bogura,Sherpur,68,Available
HW0174,Farzana Akter,CHW,HW-UWXW-35ZO-ATA,Bogura,Sherpur,59,Available
HW0175,Nusrat Hossain,CHW,HW-E5JX-Z0OE-RAL,Bogura,Shibganj,67,Available
HW0176,Sharmin Sultana,CHW,HW-TTY3-16G6-GI1,Bogura,Shibganj,78,Available
HW0177,Shirin Ahmed,nurse,HW-RWMQ-0HV8-4PT,Bogura,Shibganj,75,Available
HW0178,Farzana Ahmed,CHW,HW-SGQ4-380R-M84,Bogura,Gabtali,64,Available
HW0179,Emon Islam,nurse,HW-4H8F-48HS-NDM,Bogura,Gabtali,72,Available
HW0180,Namira Parvin,CHW,HW-FTMG-SZO5-JEG,Bogura,Gabtali,64,Available
HW0181,Nabila Mia,nurse,HW-N1QR-NECK-36E,Bogura,Sonatala,61,Available
HW0182,Saima Khatun,CHW,HW-H88K-LGPH-2JU,Bogura,Sonatala,61,Available
HW0183,Emon Nahar,CHW,HW-P2NN-TI2N-W3F,Bogura,Sonatala,65,Delayed
